scenario,run,classification,start_reason,energy_relaxed,mini_orbit_center,mini_orbit_start_phase_deg,carrier_outside_angle_deg,start_t_sec,completed_t_sec,dt_to_carrier_speed_ge_1_sec,opp_ratio_6s_speedg1,dot6_mean,dot6_min,valid_samples_6s,ahead_ratio_positive_pre_completed,ahead_min_m,ahead_p05_m,ahead_start_m,ahead_completed_m,ahead_sign_flip_count,first_guard_dir_horizon
A,20260411_212917_px4_sih,final-pass,window,1,"-30.0,25.0",30.0,45.0,105.1,152.6,4.0,0.0,0.86141435824314,0.526827072251782,41,0.26393270241850686,-39.57733517548153,-38.757866013853,83.61773489508757,0.06217451958874942,6.0,"(-0.10,0.99)@h=7.77"
A,20260411_213254_px4_sih,final-pass,window,1,"-30.0,25.0",30.0,45.0,103.2,149.54,4.0,0.0,0.727499370978169,0.5062276891573311,41,0.24676724137931033,-36.12797241986715,-35.587786250985324,81.46444066513838,0.06241757329593415,2.0,"(0.93,0.37)@h=7.88"
A,20260411_213625_px4_sih,final-pass,window,1,"-30.0,25.0",30.0,45.0,104.7,151.0,4.039999999999992,0.0,0.9077668281272195,0.77856771276778,40,0.24487594390507011,-35.71093505327155,-35.05192890444273,81.68725088073168,0.0,4.0,"(-0.39,0.92)@h=7.85"
A,20260411_213957_px4_sih,final-pass,window,1,"-30.0,25.0",30.0,45.0,104.7,149.94,4.0,0.0,0.9296416191664237,0.8863242330163441,41,0.24392935982339956,-37.21883723662539,-36.365210083379964,81.59068771800112,0.1202404412596784,2.0,"(0.96,0.28)@h=7.88"
A,20260411_214329_px4_sih,final-pass,window,1,"-30.0,25.0",30.0,45.0,104.8,152.1,3.9399999999999977,0.0,0.872607687994158,0.6114138837795166,42,0.2555438225976769,-37.59914926517564,-36.51287600476547,81.39254025683964,-0.5290226006622024,3.0,"(0.60,0.80)@h=7.82"
B,20260411_220128_px4_sih,final-pass,window,1,"42.0,18.0",260.0,160.0,121.54,147.34,3.6999999999999886,0.0,0.8696211995972818,0.5132200728252078,47,0.35009671179883944,-10.44214971754441,-10.366708553949376,81.95694344005808,0.06638402254108308,2.0,"(-0.74,-0.67)@h=5.88"
B,20260411_220456_px4_sih,final-pass,window,1,"42.0,18.0",260.0,160.0,119.68,144.18,3.739999999999995,0.0,0.9263484681869408,0.542850868318221,46,0.39307535641547864,-9.825101804541262,-9.485871915334432,83.60419805965448,0.14224122025481084,2.0,"(-0.84,-0.55)@h=5.85"
B,20260411_220822_px4_sih,final-pass,window,1,"42.0,18.0",260.0,160.0,118.5,145.44,3.8400000000000034,0.0,0.9539038017749939,0.7482789956957222,44,0.35,-10.89817071385151,-10.725989919480563,84.86851335104585,0.0,2.0,"(-0.78,-0.63)@h=5.99"
B,20260411_221148_px4_sih,final-pass,window,1,"42.0,18.0",260.0,160.0,118.24,143.2,3.940000000000012,0.0,0.8234574702698865,0.3872250244507546,42,0.37,-10.536108565419289,-10.348053072973462,84.81266901589808,0.0,2.0,"(-0.90,-0.43)@h=6.08"
B,20260411_221511_px4_sih,final-pass,window,1,"42.0,18.0",260.0,160.0,112.9,141.9,4.0,0.0,0.8797697902965504,0.5461990718829947,41,0.31497418244406195,-10.16221037155307,-10.000776195877261,83.93471643551344,0.0,2.0,"(-0.71,-0.71)@h=5.84"
