candidate_id,description,runs,final_pass,first_tracking_t_mean_sec,first_docking_t_mean_sec,first_completed_t_mean_sec,ahead_ratio_pre_mean,ahead_min_worst_m,docking_ahead_ratio_mean,docking_ahead_min_worst_m,docking_lat_abs_max_mean_m,carrier_path_mean_m,decision
baseline_r4e_tuned,14.5 + ahead-release tuned (kept baseline),5,5/5,79.94,89.416,96.51200000000001,0.8993827017499518,-1.59307,0.6588116328116328,-1.59307,1.1797228,147.38234819374208,reference
candA_no_early,14.5 + early-release disabled,2,2/2,84.09,92.96,98.16,0.874285343035343,-1.945356,0.4734887176153775,-1.945356,0.5721689999999999,132.4250587966798,reject_ahead_drop
candB_early_plus2s,14.5 + early-release min_after_orbit=14,2,2/2,76.61,84.91,90.71000000000001,0.8672564952421683,-1.464539,0.501172882946282,-1.464539,0.6013394999999999,124.94398464422858,reject_ahead_drop
candE_speed14p2,14.2 speed limit,2,1/2,82.55000000000001,91.85,95.7,0.9416622722914669,-1.485004,0.7693046735059437,-1.485004,1.093602,448.2535879779183,reject_stability
candD_speed13p8,13.8 speed limit,5,5/5,83.36800000000001,91.928,98.944,0.8795000221359673,-1.785067,0.5548506615825772,-1.785067,0.8761228000000001,134.07587316275854,reject_ahead_drop
candCatchup_tuned,14.5 + corridor_catchup 0.20->0.16,2,2/2,83.12,91.55000000000001,98.66999999999999,0.808965549921812,-2.192637,0.4015084512578616,-2.192637,0.9041215,131.65163520469548,reject_ahead_drop
candF_ahead_stronger_9p6,14.0 + ahead defaults 9.6/1.22/6.5,5,4/5,78.604,87.616,93.085,0.8570345546766083,-1.9284425326704362,0.46941910531078335,-1.9284425326704362,0.9257754,133.06095379946578,reject_stability_ahead_drop
revert_confirm_9p4_speed14p5,14.5 + reverted ahead defaults (9.4/1.18/6.2),5,5/5,84.34400000000001,93.216,98.71600000000001,0.8733366572214398,-1.7894755900359711,0.5110209373738762,-1.7894755900359711,0.9315936,123.08298985746096,monitor_variance
candG_dock_ahead_closeblend,14.5 + docking ahead close-range blend,5,4/5,80.392,88.792,98.015,0.8521772860875908,-1.8561742613959855,0.5868513136128006,-1.8561742613959855,1.1183741999999999,157.40516785384816,reject_stability
candH_earlyscore2p2,14.5 + early-release score threshold 2.2,5,5/5,81.56,90.344,96.98819999999999,0.8818501734493882,-1.96557949168022,0.5928413579766104,-1.96557949168022,0.9603386,134.1317156406381,promote_runtime_default
candI_earlyscore2p3,14.5 + early-release score threshold 2.3,2,1/2,82.19,91.07,97.84,0.8577060618852836,-1.961338812742214,0.4821382092660073,-1.961338812742214,1.117321,126.05962577993432,reject_stability
