run_id,final_phase,final_pass,close_release_dist,first_docking_t_sec,first_completed_t_sec,dock_to_completed_sec,straight_sec
20260415_141137_px4_sih,APPROACH,0.000000,13.588000,135.440000,,,3.440000
20260415_141526_px4_sih,TRACKING,0.000000,13.333000,,,,0.000000
20260415_143939_px4_sih,COMPLETED,1.000000,14.948000,80.640000,92.680000,12.040000,10.600000
20260415_144205_px4_sih,APPROACH,0.000000,,,,,0.000000
20260415_144721_px4_sih,TRACKING,0.000000,12.814000,,,,0.000000
20260415_145109_px4_sih,TRACKING,0.000000,12.543000,,,,0.000000
20260415_145454_px4_sih,DOCKING,0.000000,,93.340000,,,69.320000
20260415_145840_px4_sih,COMPLETED,1.000000,13.686000,91.440000,98.140000,6.700000,7.950000
20260415_150112_px4_sih,TRACKING,0.000000,14.970000,,,,0.000000
20260415_155215_px4_sih,TRACKING,0.000000,13.166000,,,,0.000000
20260415_155603_px4_sih,DOCKING,0.000000,,162.840000,,,14.063000
20260415_160301_px4_sih,TRACKING,0.000000,13.360000,,,,0.000000
20260415_160649_px4_sih,TRACKING,0.000000,14.417000,,,,0.000000
20260415_161123_px4_sih,COMPLETED,1.000000,12.429000,91.040000,97.700000,6.660000,9.480000
20260415_161355_px4_sih,TRACKING,0.000000,14.809000,,,,0.000000
20260415_161747_px4_sih,IDLE,0.000000,,,,,0.000000
20260415_161825_px4_sih,TRACKING,0.000000,14.916000,,,,0.000000
20260415_162217_px4_sih,TRACKING,0.000000,14.180000,92.080000,,,70.360000
