t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,mini_x,mini_y,mini_z,carrier_sp_x,carrier_sp_y,carrier_sp_z,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed
0.081,IDLE,40.409426,8.035244,39.405000,3.950000,-2.344037,7.800000,1.200000,54.000000,-30.000000,0.400000,62.035244,9.405000,4.350000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,8.035244,39.405000,3.950000,40.409426,-2.344037,7.800000,1.200000,8.232527
0.140,IDLE,41.149614,7.790109,40.200000,4.070000,-2.487638,8.000000,1.200000,54.000000,-30.000000,0.400000,61.790109,10.200000,4.470000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.790109,40.200000,4.070000,41.149614,-2.487638,8.000000,1.200000,8.463353
0.180,IDLE,41.149614,7.790109,40.200000,4.070000,-2.487638,8.000000,1.200000,54.000000,-30.000000,0.400000,61.662019,10.605000,4.530000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.662019,40.605000,4.130000,41.527454,-2.561802,8.100000,1.200000,8.579792
0.220,IDLE,41.527454,7.662019,40.605000,4.130000,-2.561802,8.100000,1.200000,54.000000,-30.000000,0.400000,61.530140,11.015000,4.590000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.530140,41.015000,4.190000,41.910492,-2.637574,8.200000,1.200000,8.696942
0.283,IDLE,41.910492,7.530140,41.015000,4.190000,-2.637574,8.200000,1.200000,54.000000,-30.000000,0.400000,61.394392,11.430000,4.650000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.394392,41.430000,4.250000,42.298752,-2.714977,8.300000,1.200000,8.814823
0.320,IDLE,42.298752,7.394392,41.430000,4.250000,-2.714977,8.300000,1.200000,54.000000,-30.000000,0.400000,61.394392,11.430000,4.650000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.394392,41.430000,4.250000,42.298752,-2.714977,8.300000,1.200000,8.814823
0.381,IDLE,42.692261,7.254690,41.850000,4.310000,-2.794034,8.400000,1.200000,54.000000,-30.000000,0.400000,61.254690,11.850000,4.710000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,7.254690,41.850000,4.310000,42.692261,-2.794034,8.400000,1.200000,8.933455
0.421,IDLE,43.091045,7.110952,42.275000,4.370000,-2.874768,8.500000,1.200000,54.000000,-30.000000,0.400000,60.963091,12.705000,4.830000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.963091,42.705000,4.430000,43.495133,-2.957201,8.600000,1.200000,9.173061
0.480,IDLE,43.495133,6.963091,42.705000,4.430000,-2.957201,8.600000,1.200000,54.000000,-30.000000,0.400000,60.811024,13.140000,4.890000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.811024,43.140000,4.490000,43.904553,-3.041356,8.700000,1.200000,9.294076
0.521,IDLE,43.904553,6.811024,43.140000,4.490000,-3.041356,8.700000,1.200000,54.000000,-30.000000,0.400000,60.654661,13.580000,4.950000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.654661,43.580000,4.550000,44.319335,-3.127252,8.800000,1.200000,9.415928
0.582,IDLE,44.319335,6.654661,43.580000,4.550000,-3.127252,8.800000,1.200000,54.000000,-30.000000,0.400000,60.493915,14.025000,5.010000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.493915,44.025000,4.610000,44.739509,-3.214912,8.900000,1.200000,9.538640
0.620,IDLE,44.739509,6.493915,44.025000,4.610000,-3.214912,8.900000,1.200000,54.000000,-30.000000,0.400000,60.328698,14.475000,5.070000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.328698,44.475000,4.670000,45.165108,-3.304354,9.000000,1.200000,9.662233
0.680,IDLE,45.165108,6.328698,44.475000,4.670000,-3.304354,9.000000,1.200000,54.000000,-30.000000,0.400000,60.328698,14.475000,5.070000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.328698,44.475000,4.670000,45.165108,-3.304354,9.000000,1.200000,9.662233
0.721,IDLE,45.596163,6.158918,44.930000,4.730000,-3.395598,9.100000,1.200000,54.000000,-30.000000,0.400000,60.158918,14.930000,5.130000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,6.158918,44.930000,4.730000,45.596163,-3.395598,9.100000,1.200000,9.786730
0.782,IDLE,46.032709,5.984485,45.390000,4.790000,-3.488660,9.200000,1.200000,54.000000,-30.000000,0.400000,59.984485,15.390000,5.190000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,5.984485,45.390000,4.790000,46.032709,-3.488660,9.200000,1.200000,9.912152
0.820,IDLE,46.474779,5.805307,45.855000,4.850000,-3.583558,9.300000,1.200000,54.000000,-30.000000,0.400000,59.621292,16.319907,5.310000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,5.621292,46.319907,4.910000,46.917383,-3.680308,9.298136,1.200000,10.071743
0.880,IDLE,46.917383,5.621292,46.319907,4.910000,-3.680308,9.298136,1.200000,54.000000,-30.000000,0.400000,59.432443,16.782871,5.370000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,5.432443,46.782871,4.970000,47.358731,-3.776972,9.259292,1.200000,10.071743
